value,datetime,datetime_utc,tz_time,geo_id,geo_name
23295.0,2024-01-03T01:00:00.000+01:00,2024-01-03T00:00:00Z,2024-01-03T00:00:00.000Z,8741,Península
22886.0,2024-01-03T01:15:00.000+01:00,2024-01-03T00:15:00Z,2024-01-03T00:15:00.000Z,8741,Península
22537.0,2024-01-03T01:30:00.000+01:00,2024-01-03T00:30:00Z,2024-01-03T00:30:00.000Z,8741,Península
22239.0,2024-01-03T01:45:00.000+01:00,2024-01-03T00:45:00Z,2024-01-03T00:45:00.000Z,8741,Península
21814.0,2024-01-03T02:00:00.000+01:00,2024-01-03T01:00:00Z,2024-01-03T01:00:00.000Z,8741,Península
21626.0,2024-01-03T02:15:00.000+01:00,2024-01-03T01:15:00Z,2024-01-03T01:15:00.000Z,8741,Península
21484.0,2024-01-03T02:30:00.000+01:00,2024-01-03T01:30:00Z,2024-01-03T01:30:00.000Z,8741,Península
21376.0,2024-01-03T02:45:00.000+01:00,2024-01-03T01:45:00Z,2024-01-03T01:45:00.000Z,8741,Península
21294.0,2024-01-03T03:00:00.000+01:00,2024-01-03T02:00:00Z,2024-01-03T02:00:00.000Z,8741,Península
21174.0,2024-01-03T03:15:00.000+01:00,2024-01-03T02:15:00Z,2024-01-03T02:15:00.000Z,8741,Península
21088.0,2024-01-03T03:30:00.000+01:00,2024-01-03T02:30:00Z,2024-01-03T02:30:00.000Z,8741,Península
21035.0,2024-01-03T03:45:00.000+01:00,2024-01-03T02:45:00Z,2024-01-03T02:45:00.000Z,8741,Península
20989.0,2024-01-03T04:00:00.000+01:00,2024-01-03T03:00:00Z,2024-01-03T03:00:00.000Z,8741,Península
20935.0,2024-01-03T04:15:00.000+01:00,2024-01-03T03:15:00Z,2024-01-03T03:15:00.000Z,8741,Península
20915.0,2024-01-03T04:30:00.000+01:00,2024-01-03T03:30:00Z,2024-01-03T03:30:00.000Z,8741,Península
20959.0,2024-01-03T04:45:00.000+01:00,2024-01-03T03:45:00Z,2024-01-03T03:45:00.000Z,8741,Península
20884.0,2024-01-03T05:00:00.000+01:00,2024-01-03T04:00:00Z,2024-01-03T04:00:00.000Z,8741,Península
21199.0,2024-01-03T05:15:00.000+01:00,2024-01-03T04:15:00Z,2024-01-03T04:15:00.000Z,8741,Península
21628.0,2024-01-03T05:30:00.000+01:00,2024-01-03T04:30:00Z,2024-01-03T04:30:00.000Z,8741,Península
22164.0,2024-01-03T05:45:00.000+01:00,2024-01-03T04:45:00Z,2024-01-03T04:45:00.000Z,8741,Península
22419.0,2024-01-03T06:00:00.000+01:00,2024-01-03T05:00:00Z,2024-01-03T05:00:00.000Z,8741,Península
23204.0,2024-01-03T06:15:00.000+01:00,2024-01-03T05:15:00Z,2024-01-03T05:15:00.000Z,8741,Península
24061.0,2024-01-03T06:30:00.000+01:00,2024-01-03T05:30:00Z,2024-01-03T05:30:00.000Z,8741,Península
24951.0,2024-01-03T06:45:00.000+01:00,2024-01-03T05:45:00Z,2024-01-03T05:45:00.000Z,8741,Península
26181.0,2024-01-03T07:00:00.000+01:00,2024-01-03T06:00:00Z,2024-01-03T06:00:00.000Z,8741,Península
26974.0,2024-01-03T07:15:00.000+01:00,2024-01-03T06:15:00Z,2024-01-03T06:15:00.000Z,8741,Península
27710.0,2024-01-03T07:30:00.000+01:00,2024-01-03T06:30:00Z,2024-01-03T06:30:00.000Z,8741,Península
28380.0,2024-01-03T07:45:00.000+01:00,2024-01-03T06:45:00Z,2024-01-03T06:45:00.000Z,8741,Península
29353.0,2024-01-03T08:00:00.000+01:00,2024-01-03T07:00:00Z,2024-01-03T07:00:00.000Z,8741,Península
29857.0,2024-01-03T08:15:00.000+01:00,2024-01-03T07:15:00Z,2024-01-03T07:15:00.000Z,8741,Península
30275.0,2024-01-03T08:30:00.000+01:00,2024-01-03T07:30:00Z,2024-01-03T07:30:00.000Z,8741,Península
30614.0,2024-01-03T08:45:00.000+01:00,2024-01-03T07:45:00Z,2024-01-03T07:45:00.000Z,8741,Península
30445.0,2024-01-03T09:00:00.000+01:00,2024-01-03T08:00:00Z,2024-01-03T08:00:00.000Z,8741,Península
30646.0,2024-01-03T09:15:00.000+01:00,2024-01-03T08:15:00Z,2024-01-03T08:15:00.000Z,8741,Península
30775.0,2024-01-03T09:30:00.000+01:00,2024-01-03T08:30:00Z,2024-01-03T08:30:00.000Z,8741,Península
30838.0,2024-01-03T09:45:00.000+01:00,2024-01-03T08:45:00Z,2024-01-03T08:45:00.000Z,8741,Península
