datetime,spot_price,gen_ccgt,gen_coal,gen_hydro,gen_nuclear,gen_solar_pv,gen_solar_th,gen_total,gen_wind,demand_total
2025-01-01 00:00:00+00:00,134.49,2888.0,243.6,3436.6,7089.9,61.6,350.0,20742.6,3877.6,20825.2
2025-01-01 01:00:00+00:00,131.59,1853.5,243.2,3243.3,7087.9,59.6,378.3,19705.7,4049.7,19783.0
2025-01-01 02:00:00+00:00,131.49,710.0,180.0,2958.8,7088.9,67.8,378.3,18387.9,4211.4,18502.5
2025-01-01 03:00:00+00:00,131.42,,,2667.0,7088.9,67.8,378.3,17309.5,4311.8,17497.5
2025-01-01 04:00:00+00:00,120.49,,,2104.4,7088.9,57.6,378.4,16573.1,4383.0,16798.5
2025-01-01 05:00:00+00:00,112.3,,,1939.7,7088.9,59.6,378.4,16393.0,4476.5,16617.3
2025-01-01 06:00:00+00:00,112.3,,,1942.0,7087.9,59.6,349.9,16422.8,4535.9,16866.0
2025-01-01 07:00:00+00:00,111.88,,,2002.3,7088.9,224.6,207.1,16188.0,4247.7,17513.7
2025-01-01 08:00:00+00:00,112.09,,,1987.6,7089.9,675.4,142.3,16375.8,4060.5,17679.3
2025-01-01 09:00:00+00:00,94.99,,,1878.8,7087.9,4111.7,82.7,19385.6,3787.4,18735.0
2025-01-01 10:00:00+00:00,35.0,,,1705.8,7088.9,9662.4,183.0,24826.4,3800.0,20898.7
2025-01-01 11:00:00+00:00,20.59,,,1661.5,7088.9,12719.5,536.7,28201.8,3820.8,22009.5
2025-01-01 12:00:00+00:00,28.11,,,1660.2,7088.9,13619.1,754.3,29104.7,3596.6,22518.4
2025-01-01 13:00:00+00:00,30.0,,,1452.5,7088.9,13753.7,780.3,29006.6,3530.5,23002.0
2025-01-01 14:00:00+00:00,21.5,,,1475.4,7089.9,13745.7,840.7,29257.8,3731.7,23087.9
2025-01-01 15:00:00+00:00,10.68,,,1549.9,7088.9,12675.1,941.9,28348.5,3761.8,22059.8
2025-01-01 16:00:00+00:00,72.0,,,1582.4,7089.9,9117.3,1116.4,25399.1,4056.5,20914.8
2025-01-01 17:00:00+00:00,125.49,,,2518.8,7088.9,3186.0,896.9,21100.6,4716.1,21167.9
2025-01-01 18:00:00+00:00,149.72,1312.2,,4878.7,7089.9,438.1,377.2,22067.3,5089.7,23221.7
2025-01-01 19:00:00+00:00,150.67,1814.9,,5368.0,7089.9,89.4,259.1,23054.5,5480.3,24285.2
2025-01-01 20:00:00+00:00,152.99,1882.2,,5920.7,7089.9,65.3,219.4,23830.5,5693.6,25153.7
2025-01-01 21:00:00+00:00,151.69,1887.2,,5739.6,7089.9,65.0,217.4,23848.9,5878.6,25101.7
2025-01-01 22:00:00+00:00,147.75,1143.4,,4718.3,7090.9,65.0,212.4,22155.7,6014.3,23679.4
2025-01-01 23:00:00+00:00,133.06,675.4,,3335.6,7088.9,65.0,202.4,20346.6,6151.4,21302.3
2025-01-02 00:00:00+00:00,137.12,435.0,366.7,3008.8,7089.5,69.8,407.7,20341.8,6100.4,21155.2
2025-01-02 01:00:00+00:00,123.03,,243.2,2136.2,7089.5,57.6,407.7,19047.0,6205.0,19538.8
2025-01-02 02:00:00+00:00,100.2,,243.0,1843.6,7089.5,50.3,407.7,18498.6,6281.7,18777.7
2025-01-02 03:00:00+00:00,99.82,,243.0,1792.8,7089.5,55.6,407.7,18544.7,6367.4,18280.3
2025-01-02 04:00:00+00:00,99.82,,243.0,1785.6,7089.5,55.6,407.7,18681.4,6501.2,18291.9
2025-01-02 05:00:00+00:00,100.08,,243.0,1832.7,7089.5,50.3,407.7,18995.8,6722.9,19081.5
2025-01-02 06:00:00+00:00,128.44,,260.0,2315.4,7089.5,57.7,407.7,20032.8,6886.9,21624.1
2025-01-02 07:00:00+00:00,143.96,764.0,380.0,3997.5,7089.5,354.2,320.9,22988.9,6892.5,25189.8
2025-01-02 08:00:00+00:00,152.92,1137.2,500.0,4662.7,7089.5,797.5,183.7,25033.6,6810.1,27709.7
2025-01-02 09:00:00+00:00,152.16,1108.6,500.0,4367.0,7089.5,4476.4,145.5,27964.9,6847.5,29464.9
2025-01-02 10:00:00+00:00,129.04,,320.0,2517.3,7089.5,10462.3,201.9,30400.6,6529.7,30422.8
2025-01-02 11:00:00+00:00,125.7,,243.0,2059.0,7089.5,13589.1,489.6,32945.3,6147.1,30156.7
2025-01-02 12:00:00+00:00,125.72,,243.0,1867.3,7089.5,14690.4,684.0,33971.7,6034.3,29823.1
2025-01-02 13:00:00+00:00,119.3,,243.0,1836.5,7089.5,14871.0,710.3,34161.2,6357.8,29996.5
2025-01-02 14:00:00+00:00,124.65,,243.0,1991.4,7089.5,15000.1,754.8,35122.5,6669.1,29964.8
2025-01-02 15:00:00+00:00,130.11,,260.0,2233.5,7089.5,14080.4,912.7,34760.8,6829.0,29131.1
2025-01-02 16:00:00+00:00,139.5,366.0,380.0,3198.8,7089.5,9727.9,1033.4,32015.1,6907.6,29106.8
2025-01-02 17:00:00+00:00,153.4,2057.6,500.0,4773.8,7089.5,3250.5,948.0,30378.7,7431.9,29767.3
2025-01-02 18:00:00+00:00,159.18,2658.9,500.0,6125.6,7089.5,369.9,517.3,29803.9,7962.7,31254.6
2025-01-02 19:00:00+00:00,160.99,2663.2,500.0,6366.9,7089.5,66.7,469.6,30301.8,8546.4,31394.5
2025-01-02 20:00:00+00:00,161.1,2666.2,500.0,6276.0,7089.5,49.5,461.4,30659.7,8985.0,32056.9
2025-01-02 21:00:00+00:00,157.88,2672.6,500.0,5832.9,7090.5,56.8,416.4,30550.8,9316.3,31541.9
2025-01-02 22:00:00+00:00,152.44,1925.2,500.0,4654.4,7090.5,65.0,411.3,27945.3,9489.8,29128.8
2025-01-02 23:00:00+00:00,140.0,756.0,433.4,3669.1,7089.5,65.0,401.2,25535.4,9727.5,26159.2
2025-01-03 00:00:00+00:00,121.52,892.0,243.6,2556.4,7078.2,54.3,403.8,24554.7,10079.9,24292.6
2025-01-03 01:00:00+00:00,104.9,135.0,243.2,1948.4,7078.2,52.3,403.8,23074.8,10322.9,22930.8
2025-01-03 02:00:00+00:00,93.94,,180.0,1809.5,7078.2,48.3,414.1,22941.4,10502.8,22242.0
2025-01-03 03:00:00+00:00,91.1,,,1766.4,7078.2,48.3,414.2,22924.6,10706.5,21674.5
2025-01-03 04:00:00+00:00,88.46,,,1749.5,7078.2,46.3,414.3,23122.5,10978.7,21610.2
2025-01-03 05:00:00+00:00,92.25,,,1756.3,7078.2,48.3,414.5,23429.8,11262.1,22099.9
2025-01-03 06:00:00+00:00,100.14,,,1906.0,7079.2,52.3,414.6,23909.1,11563.6,24052.9
2025-01-03 07:00:00+00:00,126.0,,,3002.2,7078.2,264.3,147.2,25313.5,11570.0,26811.6
2025-01-03 08:00:00+00:00,141.2,767.0,,4437.5,7078.2,683.9,60.1,27796.5,11461.4,29399.0
2025-01-03 09:00:00+00:00,138.0,384.0,,4349.7,7078.2,3858.6,60.0,30404.7,11382.8,31029.8
2025-01-03 10:00:00+00:00,130.52,,,3044.6,7078.2,8852.7,114.8,33229.5,10790.9,31878.7
2025-01-03 11:00:00+00:00,123.2,,,2004.3,7079.2,11399.1,399.1,34695.3,10528.5,31552.0
2025-01-03 12:00:00+00:00,113.51,,,1842.9,7077.2,12152.5,600.1,35210.3,10499.8,31217.3
2025-01-03 13:00:00+00:00,107.6,,,1749.0,7079.2,12135.1,598.7,35329.3,10750.3,31309.9
2025-01-03 14:00:00+00:00,105.88,,,1748.7,7077.2,11669.8,625.3,35069.2,10929.4,31083.8
2025-01-03 15:00:00+00:00,110.22,,,1779.1,7078.2,10323.6,693.7,33741.4,10847.3,30056.4
2025-01-03 16:00:00+00:00,123.2,,,2234.1,7077.2,6726.2,699.8,30772.1,10686.4,29591.6
2025-01-03 17:00:00+00:00,141.2,750.0,,4673.7,7078.2,2262.6,690.7,29850.9,11023.9,30088.1
2025-01-03 18:00:00+00:00,149.62,1065.6,,5223.8,7078.2,307.4,438.7,29845.6,11336.5,31748.4
2025-01-03 19:00:00+00:00,151.25,1253.6,,5664.1,7078.2,66.9,408.9,30639.2,11709.7,31930.1
2025-01-03 20:00:00+00:00,151.25,1241.9,,5804.0,7078.2,49.7,396.0,30821.2,11786.9,32128.5
2025-01-03 21:00:00+00:00,149.12,832.9,,5363.5,7078.2,49.7,383.9,29839.0,11749.3,31471.3
2025-01-03 22:00:00+00:00,145.58,759.0,,4823.4,7079.2,57.0,375.3,28212.3,11685.5,29032.8
2025-01-03 23:00:00+00:00,136.42,255.6,,3668.3,7078.2,57.0,122.4,25969.3,11551.1,26499.8
