customer_id,signup_date,country,age,gender,subscription_tier,monthly_fee,account_age_days,is_premium,age_group,country_region,total_sessions,avg_sessions_per_day,total_usage_minutes,avg_session_duration,avg_features_per_session,total_errors,days_active,days_since_last_activity,usage_consistency_std,total_tickets,avg_resolution_hours,unresolved_tickets,technical_tickets_pct,high_priority_tickets,avg_satisfaction,days_since_last_ticket,churned
1,2023-10-17,Germany,62.0,F,Basic,13.0,441,0,51+,Europe,349,5.629032258064516,1745.06,28.146129032258063,8.129032258064516,26,62,0,2.65029457668476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,2022-04-25,UK,43.5,M,Premium,30.48,981,1,36-50,Europe,403,5.302631578947368,2515.9900000000002,33.10513157894737,7.565789473684211,39,76,0,2.879906187555909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,2022-01-26,Brazil,53.0,Unknown,Basic,11.59,1070,0,51+,South America,421,5.397435897435898,2312.93,29.652948717948714,7.5256410256410255,42,78,0,2.488100217162221,4.0,20.023796296296297,1.0,25.0,2.0,0.0,70.0,0
4,2024-01-30,Canada,26.0,M,Basic,11.97,336,0,26-35,North America,147,5.25,662.64,23.665714285714284,6.857142857142857,12,28,4,2.2381374531648537,1.0,12.105,0.0,100.0,0.0,4.0,286.0,0
5,2022-10-09,Spain,44.0,F,Basic,11.23,814,0,36-50,Europe,263,4.614035087719298,1803.58,31.641754385964912,7.087719298245614,37,57,0,2.603256106473146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,2022-09-08,Brazil,51.0,F,Basic,10.18,845,0,51+,South America,208,4.9523809523809526,1294.3799999999999,30.818571428571424,6.738095238095238,30,42,1,2.713582646275017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,2022-08-17,UK,68.0,M,Enterprise,131.87,867,1,51+,Europe,295,5.0,1686.78,28.58949152542373,7.9491525423728815,23,59,0,2.6063582731995734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,2022-05-23,Germany,18.0,M,Basic,13.95,953,0,18-25,Europe,239,4.877551020408164,1741.8,35.546938775510206,8.489795918367347,22,49,0,2.7051852452067595,5.0,17.246111111111112,0.0,40.0,1.0,4.0,74.0,0
9,2024-01-25,Italy,43.5,F,Basic,11.79,341,0,36-50,Europe,113,5.947368421052632,641.78,33.77789473684211,6.2631578947368425,6,19,1,2.296704987840099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,2022-04-15,USA,42.0,M,Enterprise,132.33,991,1,36-50,North America,105,5.526315789473684,395.0,20.789473684210527,5.947368421052632,12,19,2,2.653476148849773,1.0,40.44111111111111,0.0,0.0,0.0,0.0,133.0,0
11,2023-11-24,Germany,46.0,M,Basic,14.7,403,0,36-50,Europe,169,4.828571428571428,855.09,24.43114285714286,7.742857142857143,14,35,0,2.695155940983469,4.0,12.879027777777779,0.0,25.0,0.0,4.5,6.0,0
12,2024-01-29,Canada,24.0,M,Basic,10.2,337,0,18-25,North America,307,5.7924528301886795,1554.97,29.339056603773585,7.566037735849057,23,53,0,2.356321208399928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,2023-07-13,Canada,66.0,M,Premium,37.66,537,1,51+,North America,125,5.681818181818182,796.98,36.22636363636364,6.590909090909091,9,22,3,2.1687469201046037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,2022-03-31,Spain,20.0,F,Premium,34.82,1006,1,18-25,Europe,112,5.6,624.85,31.2425,7.6,12,20,4,2.741494022186481,2.0,44.19416666666667,0.0,0.0,0.0,3.0,50.0,0
15,2023-08-28,UK,37.0,F,Basic,14.71,491,0,36-50,Europe,238,4.76,1532.28,30.645599999999998,8.18,14,50,1,2.7072088193999253,5.0,13.993472222222223,1.0,40.0,1.0,3.6666666666666665,205.0,0
16,2023-03-09,UK,37.0,M,Premium,33.92,663,1,36-50,Europe,208,5.333333333333333,1001.74,25.685641025641026,6.769230769230769,25,39,3,3.020398486548399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,2022-02-02,Spain,70.0,F,Premium,37.07,1063,1,51+,Europe,249,4.788461538461538,1365.87,26.26673076923077,7.846153846153846,23,52,0,2.523120838009466,1.0,6.440555555555555,0.0,100.0,0.0,0.0,16.0,1
18,2022-01-31,Spain,47.0,M,Basic,10.34,1065,0,36-50,Europe,136,4.857142857142857,767.59,27.413928571428574,6.75,15,28,0,2.620634439925734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,2022-04-06,USA,52.0,F,Premium,39.28,1000,1,51+,North America,72,5.142857142857143,262.18,18.72714285714286,8.928571428571429,6,14,22,2.741620600390126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,2022-08-12,UK,52.0,F,Premium,33.44,872,1,51+,Europe,61,4.6923076923076925,411.5,31.653846153846153,8.0,9,13,8,1.6525039276108333,1.0,0.0,1.0,100.0,0.0,0.0,55.0,0
21,2022-08-27,UK,66.0,F,Enterprise,152.39,857,1,51+,Europe,68,6.181818181818182,265.37,24.124545454545455,6.454545454545454,6,11,5,2.7502066038093145,1.0,0.0,1.0,100.0,0.0,0.0,53.0,0
22,2023-06-02,USA,56.0,M,Enterprise,113.84,578,1,51+,North America,172,5.0588235294117645,982.91,28.90911764705882,7.0588235294117645,22,34,0,2.485609204889134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23,2023-09-09,Spain,44.0,M,Basic,14.72,479,0,36-50,Europe,181,5.323529411764706,791.34,23.274705882352944,7.794117647058823,14,34,2,2.836136811626028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
24,2022-01-28,Australia,43.0,M,Basic,13.35,1068,0,36-50,Oceania,206,5.885714285714286,1103.1,31.517142857142854,7.942857142857143,15,35,0,2.068978556898926,1.0,6.702222222222222,0.0,0.0,0.0,4.0,330.0,0
25,2023-07-29,Mexico,31.0,F,Basic,10.26,521,0,26-35,North America,152,4.470588235294118,823.09,24.208529411764708,7.764705882352941,13,34,0,2.5847489077705466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26,2022-07-23,UK,34.0,M,Basic,10.77,892,0,26-35,Europe,252,4.754716981132075,1756.28,33.13735849056604,7.622641509433962,25,53,1,2.5936732222360925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27,2024-01-04,USA,35.0,F,Basic,11.99,362,0,26-35,North America,119,4.576923076923077,799.12,30.735384615384614,7.576923076923077,11,26,0,2.516713363465564,3.0,14.236666666666666,2.0,66.66666666666666,0.0,3.0,34.0,0
28,2023-10-28,Australia,62.0,Other,Premium,32.16,430,1,51+,Oceania,232,4.73469387755102,1469.28,29.98530612244898,7.612244897959184,24,49,0,2.3163864657054534,4.0,19.574166666666667,0.0,0.0,1.0,3.3333333333333335,23.0,1
29,2023-12-20,UK,69.0,F,Basic,11.51,377,0,51+,Europe,303,4.809523809523809,1982.11,31.46206349206349,6.936507936507937,33,63,0,2.5390952341916853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,2023-07-13,USA,46.0,F,Basic,14.98,537,0,36-50,North America,415,4.662921348314606,2781.79,31.256067415730335,8.089887640449438,44,89,0,2.6196105723106626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
31,2023-03-06,Australia,37.0,M,Premium,36.58,666,1,36-50,Oceania,264,4.981132075471698,1835.0,34.62264150943396,6.849056603773585,23,53,2,2.735033159957437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,2022-08-14,Italy,70.0,M,Premium,39.21,870,1,51+,Europe,95,5.277777777777778,542.95,30.16388888888889,6.777777777777778,10,18,2,2.9665895561690436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33,2023-04-05,UK,44.0,M,Premium,34.35,636,1,36-50,Europe,156,4.588235294117647,829.09,24.385,8.264705882352942,18,34,0,2.6755644780667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,2023-08-27,Brazil,35.0,F,Basic,13.54,492,0,26-35,South America,179,4.7105263157894735,1158.26,30.480526315789472,6.894736842105263,20,38,6,2.6087989857283773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,2022-10-12,Australia,21.0,M,Premium,34.59,811,1,18-25,Oceania,246,5.23404255319149,1483.66,31.567234042553192,8.851063829787234,12,47,0,2.7123931832900916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,2024-04-08,France,18.0,F,Enterprise,132.81,267,1,18-25,Europe,160,4.705882352941177,1048.84,30.848235294117643,6.911764705882353,24,34,1,2.6230841408506467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
37,2024-06-09,USA,67.0,M,Basic,12.59,205,0,51+,North America,376,5.529411764705882,1850.26,27.209705882352942,6.6911764705882355,32,68,1,2.7343617129364866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38,2022-01-07,Canada,18.0,M,Basic,12.13,1089,0,18-25,North America,117,5.086956521739131,702.85,30.558695652173913,7.3478260869565215,10,23,1,2.539023496583979,5.0,28.9525,1.0,80.0,2.0,2.6666666666666665,43.0,0
39,2024-02-17,Canada,43.5,F,Enterprise,198.04,318,1,36-50,North America,57,5.181818181818182,327.73,29.793636363636367,7.2727272727272725,7,11,10,3.060005941764879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,2024-04-05,Italy,62.0,M,Basic,12.47,270,0,51+,Europe,115,5.476190476190476,647.98,30.856190476190477,8.761904761904763,6,21,5,2.204972734957229,4.0,13.911527777777778,2.0,50.0,0.0,5.0,7.0,0
41,2022-06-13,Australia,37.0,M,Basic,14.05,932,0,36-50,Oceania,177,4.916666666666667,950.5699999999999,26.40472222222222,7.805555555555555,21,36,0,2.477037400951848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
42,2023-12-16,Australia,69.0,F,Basic,13.32,381,0,51+,Oceania,150,4.411764705882353,804.9,23.673529411764704,8.294117647058824,16,34,0,2.3756038729427975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
43,2023-03-09,Mexico,40.0,M,Basic,12.39,663,0,36-50,North America,152,5.241379310344827,820.23,28.283793103448275,7.413793103448276,21,29,0,2.6275351351979115,3.0,22.845555555555556,1.0,100.0,0.0,4.0,19.0,0
44,2022-12-15,Mexico,27.0,M,Basic,12.36,747,0,26-35,North America,419,5.441558441558442,2152.49,27.95441558441558,7.636363636363637,48,77,1,2.4788235032683215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45,2022-10-12,Mexico,28.0,M,Basic,11.7,811,0,26-35,North America,162,5.4,913.16,30.438666666666666,8.6,15,30,0,2.554239207872764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
46,2022-06-09,USA,58.0,F,Basic,10.52,936,0,51+,North America,270,5.294117647058823,1268.75,24.877450980392158,8.0,26,51,0,2.6555159020202366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
47,2022-08-09,Australia,58.0,Other,Basic,13.8,875,0,51+,Oceania,326,5.09375,2014.1,31.4703125,6.890625,32,64,1,2.567926406995736,3.0,13.622129629629631,0.0,33.33333333333333,1.0,3.3333333333333335,66.0,0
48,2024-02-21,Germany,22.0,F,Premium,39.17,314,1,18-25,Europe,334,5.21875,1985.51,31.02359375,7.96875,29,64,0,2.88107536140505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
49,2022-12-11,UK,18.0,M,Enterprise,121.79,751,1,18-25,Europe,234,5.2,1408.42,31.298222222222225,9.0,27,45,0,2.5459415118612174,1.0,0.0,1.0,0.0,0.0,0.0,204.0,0
50,2022-04-15,France,34.0,M,Basic,14.62,991,0,26-35,Europe,263,4.696428571428571,1623.97,28.999464285714286,7.625,24,56,0,2.675951099275599,4.0,17.368333333333332,0.0,25.0,0.0,5.0,120.0,0
51,2022-04-05,USA,39.0,M,Premium,32.31,1001,1,36-50,North America,172,5.375,1372.94,42.904375,7.15625,19,32,0,2.6609481695986346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
52,2023-01-25,UK,51.0,Other,Basic,12.64,706,0,51+,Europe,202,5.315789473684211,1136.95,29.919736842105266,7.2894736842105265,18,38,0,2.5479749580624276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,2022-04-10,USA,62.0,M,Basic,11.71,996,0,51+,North America,78,4.875,513.25,32.078125,6.625,16,16,2,2.4731895735399396,4.0,21.73388888888889,2.0,100.0,0.0,3.0,8.0,1
54,2023-01-03,Germany,58.0,M,Enterprise,111.44,728,1,51+,Europe,228,5.181818181818182,1142.1299999999999,25.957499999999996,7.909090909090909,26,44,1,2.4990484447013146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55,2024-05-17,UK,46.0,F,Basic,10.25,228,0,36-50,Europe,255,4.903846153846154,1864.81,35.86173076923077,6.326923076923077,25,52,0,2.491236525673077,1.0,0.0,1.0,100.0,1.0,0.0,341.0,1
56,2022-12-19,France,21.0,Other,Basic,11.82,743,0,18-25,Europe,312,5.571428571428571,1863.71,33.28053571428571,7.267857142857143,33,56,0,2.395883916273854,5.0,16.61116666666667,0.0,40.0,1.0,4.0,250.0,0
57,2023-09-11,Germany,22.0,M,Basic,10.23,477,0,18-25,Europe,59,4.916666666666667,367.4,30.616666666666664,7.0,4,12,3,2.7122058561364044,2.0,11.805277777777778,0.0,100.0,0.0,3.5,87.0,0
58,2022-09-28,USA,28.0,M,Premium,31.03,825,1,26-35,North America,393,5.103896103896104,2378.72,30.89246753246753,7.701298701298701,42,77,0,2.668453206518592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
59,2024-04-06,UK,68.0,M,Basic,10.7,269,0,51+,Europe,331,5.092307692307692,1727.4,26.575384615384618,7.338461538461538,30,65,0,2.5539373825225535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
