customer_id,signup_date,country,age,gender,subscription_tier,monthly_fee
1,17/10/2023,Germany,62.0,F,basic,13.0
2,25/04/2022,UK,,M,Premium,30.48
3,26/01/2022,Brazil,53.0,,basic,11.59
4,30/01/2024,Canada,26.0,M,basic,11.97
5,09/10/2022,Spain,44.0,F,basic,11.23
6,08/09/2022,Brazil,51.0,F,basic,10.18
7,17/08/2022,United Kingdom,68.0,M,ENTERPRISE,131.87
8,23/05/2022,Germany,18.0,M,basic,13.95
9,25/01/2024,Italy,,F,basic,11.79
10,15/04/2022,US,42.0,M,ENTERPRISE,132.33
11,24/11/2023,Germany,46.0,M,basic,14.7
12,29/01/2024,Canada,24.0,M,basic,10.2
13,13/07/2023,Canada,66.0,M,Premium,37.66
14,31/03/2022,Spain,20.0,F,Premium,34.82
15,28/08/2023,United Kingdom,37.0,F,basic,14.71
16,09/03/2023,UK,37.0,M,Premium,33.92
17,02/02/2022,Spain,70.0,F,Premium,37.07
18,31/01/2022,Spain,47.0,M,basic,10.34
19,06/04/2022,US,52.0,F,Premium,39.28
20,12/08/2022,Britain,52.0,F,Premium,33.44
21,27/08/2022,United Kingdom,66.0,F,ENTERPRISE,152.39
22,02/06/2023,United States,56.0,M,ENTERPRISE,113.84
23,09/09/2023,Spain,44.0,M,basic,14.72
24,28/01/2022,Australia,43.0,M,basic,13.35
25,29/07/2023,Mexico,31.0,F,basic,10.26
26,23/07/2022,Britain,34.0,M,basic,10.77
27,04/01/2024,United States,35.0,F,basic,11.99
28,28/10/2023,Australia,62.0,Other,Premium,32.16
29,20/12/2023,United Kingdom,69.0,F,basic,11.51
30,13/07/2023,USA,46.0,F,basic,14.98
31,06/03/2023,Australia,37.0,M,Premium,36.58
32,14/08/2022,Italy,70.0,M,Premium,39.21
33,05/04/2023,Britain,44.0,M,Premium,34.35
34,27/08/2023,Brazil,35.0,F,basic,13.54
35,12/10/2022,Australia,21.0,M,Premium,34.59
36,08/04/2024,France,18.0,F,ENTERPRISE,132.81
37,09/06/2024,USA,67.0,M,basic,12.59
38,07/01/2022,Canada,18.0,M,basic,12.13
39,17/02/2024,Canada,,F,ENTERPRISE,198.04
40,05/04/2024,Italy,62.0,M,basic,12.47
41,13/06/2022,Australia,37.0,M,basic,14.05
42,16/12/2023,Australia,69.0,F,basic,13.32
43,09/03/2023,Mexico,40.0,M,basic,12.39
44,15/12/2022,Mexico,27.0,M,basic,12.36
45,12/10/2022,Mexico,28.0,M,basic,11.7
46,09/06/2022,US,58.0,F,basic,10.52
47,09/08/2022,Australia,58.0,Other,basic,13.8
48,21/02/2024,Germany,22.0,F,Premium,39.17
49,11/12/2022,UK,18.0,M,ENTERPRISE,121.79
50,15/04/2022,France,34.0,M,basic,14.62
51,05/04/2022,US,39.0,M,Premium,32.31
52,25/01/2023,United Kingdom,51.0,Other,basic,12.64
53,10/04/2022,US,62.0,M,basic,11.71
54,03/01/2023,Germany,58.0,M,ENTERPRISE,111.44
55,17/05/2024,United Kingdom,46.0,F,basic,10.25
56,19/12/2022,France,21.0,Other,basic,11.82
57,11/09/2023,Germany,22.0,M,basic,10.23
58,28/09/2022,United States,28.0,M,Premium,31.03
59,06/04/2024,UK,68.0,M,basic,10.7
60,14/02/2022,France,38.0,M,basic,10.0
