ticket_id,customer_id,created_date,resolved_date,category,priority,satisfaction_score
1,4110,2024/03/29 00:00:00,2024/03/29 08:51:44,Technical,Medium,
2,4110,2024/03/04 00:00:00,2024/03/04 12:08:22,Billing,Low,
3,4110,2024/03/27 00:00:00,2024/03/27 01:09:27,Technical,Medium,5.0
4,2990,2024/12/22 00:00:00,2024/12/23 03:33:56,Technical,Low,
5,3341,2024/01/03 00:00:00,2024/01/05 16:12:29,Technical,High,
6,3341,2024/10/01 00:00:00,2024/10/01 04:40:00,Technical,Medium,
7,3341,2024/06/02 00:00:00,2024/06/02 13:02:55,General,Low,1.0
8,3341,2024/09/20 00:00:00,,Technical,High,
9,3341,2024/03/29 00:00:00,,Technical,Medium,
10,2669,2024/05/06 00:00:00,2024/05/06 09:53:15,Billing,Low,
11,2669,2024/06/19 00:00:00,2024/06/20 00:14:06,Technical,Medium,
12,2669,2024/04/25 00:00:00,2024/04/25 04:19:11,General,Low,
13,4175,2024/01/24 00:00:00,,Technical,Low,
14,4175,2024/11/04 00:00:00,,General,Low,
15,4175,2024/05/22 00:00:00,2024/05/22 02:51:45,General,Medium,4.0
16,4352,2024/06/12 00:00:00,2024/06/12 08:36:06,Technical,High,4.0
17,4352,2024/09/04 00:00:00,2024/09/04 11:12:02,General,Low,4.0
18,4352,2024/08/03 00:00:00,2024/08/03 15:26:05,Technical,Medium,
19,4352,2024/12/18 00:00:00,2024/12/18 23:18:36,General,Medium,
20,113,2024/01/21 00:00:00,2024/01/22 05:39:51,Technical,Medium,4.0
21,113,2024/06/13 00:00:00,2024/06/13 18:33:38,Billing,Medium,5.0
22,113,2024/11/08 00:00:00,2024/11/09 05:25:49,Billing,Medium,
23,113,2024/08/03 00:00:00,,General,Medium,
24,2381,2024/07/26 00:00:00,2024/07/26 03:48:34,Technical,Low,
25,1781,2024/04/18 00:00:00,2024/04/19 03:25:51,Billing,Low,
26,1781,2024/09/13 00:00:00,2024/09/14 02:39:28,Technical,Medium,3.0
27,2267,2024/03/11 00:00:00,2024/03/12 15:48:39,Billing,Low,
28,2267,2024/01/10 00:00:00,2024/01/10 18:13:52,Billing,Low,4.0
29,2267,2024/03/14 00:00:00,2024/03/14 03:24:37,General,Low,
30,2267,2024/06/11 00:00:00,2024/06/11 04:04:53,Technical,Low,
31,3103,2024/09/19 00:00:00,2024/09/19 16:31:37,Technical,Medium,5.0
32,3103,2024/12/12 00:00:00,2024/12/12 08:54:30,Technical,Low,3.0
33,3103,2024/10/14 00:00:00,2024/10/15 03:20:37,Technical,Medium,
34,2747,2024/12/24 00:00:00,,Billing,Medium,
35,2747,2024/08/16 00:00:00,2024/08/17 22:53:55,Technical,Medium,2.0
36,2747,2024/04/12 00:00:00,2024/04/12 09:56:14,Technical,Medium,3.0
37,2747,2024/10/30 00:00:00,2024/10/30 08:34:33,Technical,Medium,3.0
38,2364,2024/01/02 00:00:00,2024/01/03 22:22:52,Billing,Low,4.0
