customer_id,log_date,sessions,duration_minutes,features_used,errors_encountered
1,2024-12-08,9,44.92,6,0
1,2024-11-19,1,49.53,1,0
1,2024-12-12,4,7.12,1,0
1,2024-11-14,7,44.35,6,0
1,2024-11-15,2,29.12,12,1
1,2024-11-28,7,6.14,3,1
1,2024-11-13,6,47.63,14,1
1,2024-12-23,9,28.55,13,0
1,2024-10-26,5,19.75,7,0
1,2024-12-18,5,36.66,5,1
1,2024-12-15,5,28.59,10,0
1,2024-11-09,2,11.98,13,0
1,2024-11-06,7,12.68,10,0
1,2024-11-01,2,19.66,11,0
1,2024-10-31,3,47.13,13,0
1,2024-12-04,4,4.6,9,1
1,2024-12-06,8,16.61,4,1
1,2024-12-09,8,49.06,13,0
1,2024-10-18,3,64.57,1,1
1,2024-11-05,5,41.0,10,0
1,2024-10-24,1,77.89,9,0
1,2024-12-22,9,11.77,3,0
1,2024-11-07,9,28.46,9,1
1,2024-11-30,8,20.96,9,2
1,2024-12-03,7,63.41,9,0
1,2024-11-12,7,16.92,4,1
1,2024-11-26,4,62.8,6,0
1,2024-10-08,9,34.16,8,0
1,2024-10-21,3,27.44,13,0
1,2024-11-21,3,41.43,10,1
1,2024-10-27,6,-8.54,10,0
1,2024-11-03,6,13.91,3,1
1,2024-10-04,8,29.39,9,0
1,2024-12-24,7,37.15,2,2
1,2024-12-11,5,12.53,8,1
1,2024-11-04,5,17.08,7,0
1,2024-12-28,8,4.49,7,1
1,2024-12-30,8,23.55,4,0
1,2024-10-05,7,41.82,12,2
1,2024-10-17,9,10.11,12,0
1,2024-10-09,9,45.3,4,0
1,2024-12-27,6,9.78,13,1
1,2024-10-25,7,13.27,9,1
1,2024-12-31,1,14.03,6,1
1,2024-10-14,1,23.07,4,0
1,2024-12-01,8,26.84,8,0
1,2024-10-15,8,20.92,8,1
1,2024-11-25,6,34.4,10,1
1,2024-12-10,9,17.83,6,0
1,2024-10-11,7,19.66,14,0
1,2024-10-12,1,11.08,14,0
1,2024-12-25,8,12.53,10,0
1,2024-11-24,1,11.31,4,0
1,2024-12-05,9,36.2,7,0
1,2024-11-02,3,26.34,12,0
1,2024-12-13,7,16.9,2,0
1,2024-11-08,3,22.18,13,1
1,2024-10-06,5,17.94,11,1
1,2024-11-23,1,26.75,7,0
1,2024-11-27,8,65.07,13,0
1,2024-11-20,3,13.66,11,0
1,2024-11-29,7,75.08,2,0
2,2024-11-19,2,58.64,7,2
2,2024-11-28,2,33.93,2,0
2,2024-10-24,2,23.41,8,1
2,2024-11-25,8,6.18,9,0
2,2024-12-04,4,3.93,9,0
2,2024-10-20,7,78.89,2,0
2,2024-12-28,3,40.04,4,0
2,2024-10-05,1,9.44,4,1
2,2024-10-25,9,29.86,4,0
2,2024-10-31,9,48.2,10,0
2,2024-12-11,1,69.77,7,0
2,2024-12-20,1,21.48,11,0
2,2024-11-22,4,54.84,7,0
2,2024-11-21,2,17.35,13,0
2,2024-11-01,4,35.34,2,1
2,2024-12-16,7,28.09,1,1
2,2024-11-20,6,10.22,14,0
2,2024-12-23,9,28.73,7,0
2,2024-11-09,3,22.59,3,1
2,2024-12-09,9,64.74,8,2
2,2024-11-12,6,67.23,10,0
2,2024-11-13,1,5.38,9,0
2,2024-12-30,5,17.24,10,1
2,2024-12-21,9,19.29,13,1
2,2024-10-19,6,15.38,1,4
2,2024-10-16,6,20.72,13,0
2,2024-12-22,2,42.98,7,0
2,2024-11-26,8,43.2,12,0
2,2024-10-11,1,27.35,3,0
2,2024-11-15,2,18.85,9,1
2,2024-10-22,5,43.93,3,0
2,2024-10-27,9,45.84,1,0
2,2024-11-16,9,30.27,4,0
2,2024-11-08,8,67.12,6,0
2,2024-12-18,3,30.45,13,0
2,2024-10-23,8,84.87,13,0
2,2024-10-03,9,26.38,12,0
2,2024-12-27,7,37.74,14,0
2,2024-12-06,9,19.13,14,0
2,2024-11-11,7,39.7,5,2
2,2024-10-30,1,10.38,11,2
2,2024-11-03,7,15.64,10,0
2,2024-11-04,2,24.08,14,1
2,2024-12-10,9,3.74,7,0
2,2024-11-07,1,75.71,2,1
2,2024-10-10,4,40.37,4,0
2,2024-10-21,1,0.82,8,0
2,2024-12-26,9,29.48,4,0
2,2024-10-17,5,45.87,13,1
2,2024-10-26,3,51.27,12,2
2,2024-10-29,3,51.9,5,1
2,2024-11-10,7,28.03,9,0
2,2024-10-09,5,13.78,14,1
2,2024-10-14,3,56.32,11,0
2,2024-12-19,8,25.23,3,0
2,2024-10-12,6,16.55,1,0
2,2024-11-23,8,28.0,1,1
2,2024-12-07,8,49.4,3,0
2,2024-11-17,6,21.5,8,0
2,2024-12-17,9,23.22,8,1
2,2024-12-01,8,30.36,13,1
2,2024-12-12,1,15.0,12,0
2,2024-12-15,8,8.98,10,0
2,2024-10-18,6,30.49,9,1
2,2024-12-03,1,7.44,12,0
2,2024-10-13,9,20.86,10,0
2,2024-12-05,3,75.25,6,0
2,2024-10-28,2,22.93,4,0
2,2024-10-15,3,33.67,7,0
2,2024-11-06,9,15.76,1,1
2,2024-12-31,6,38.7,3,2
2,2024-12-02,9,49.78,10,0
2,2024-12-24,3,17.21,6,0
2,2024-11-18,7,25.81,9,1
2,2024-11-29,5,61.43,2,1
2,2024-10-08,5,62.31,9,3
3,2024-12-22,6,85.72,9,0
3,2024-10-21,7,-3.72,2,0
3,2024-11-30,1,32.64,10,0
3,2024-12-15,8,5.46,12,0
3,2024-10-24,8,17.0,11,0
3,2024-12-18,4,17.93,1,0
3,2024-12-16,7,61.38,5,1
3,2024-11-07,4,6.43,14,2
3,2024-10-30,2,23.19,9,0
3,2024-11-09,4,42.79,9,0
3,2024-12-31,9,20.7,13,2
3,2024-11-10,2,44.83,13,1
3,2024-12-19,4,6.83,14,0
3,2024-11-05,6,45.02,1,1
3,2024-11-03,3,8.53,14,0
3,2024-10-11,1,62.13,1,2
3,2024-12-28,1,7.61,2,1
3,2024-12-23,4,8.15,1,0
3,2024-10-15,3,10.33,1,0
3,2024-11-17,8,25.03,4,0
3,2024-12-21,7,13.63,13,0
3,2024-10-08,7,4.88,6,0
3,2024-10-04,5,58.29,11,0
3,2024-11-08,6,10.83,5,4
3,2024-11-26,4,62.27,14,1
3,2024-12-05,8,37.39,10,1
3,2024-12-03,6,41.82,11,0
3,2024-10-05,9,11.53,5,1
3,2024-11-28,2,22.05,2,1
3,2024-12-30,8,20.16,12,2
3,2024-12-02,7,139.64,11,0
3,2024-12-14,8,13.13,3,1
3,2024-12-08,3,22.62,10,1
3,2024-10-17,9,34.48,12,1
3,2024-12-17,5,4.08,11,0
3,2024-10-07,3,51.91,5,0
3,2024-10-10,7,14.54,10,0
3,2024-11-02,8,50.69,3,0
3,2024-12-11,2,40.95,7,0
3,2024-11-16,2,12.9,8,1
3,2024-12-26,8,23.47,1,0
3,2024-11-29,7,5.14,5,0
3,2024-10-31,3,39.76,9,1
3,2024-12-27,8,22.91,2,0
3,2024-12-09,6,19.38,5,1
3,2024-11-24,4,33.4,8,0
3,2024-10-09,8,32.86,13,0
3,2024-10-25,1,25.21,5,0
3,2024-10-06,4,4.73,11,0
3,2024-10-03,7,34.45,8,0
3,2024-11-01,1,16.92,8,2
3,2024-11-21,9,54.14,11,0
3,2024-11-22,5,27.41,6,1
3,2024-10-12,3,52.95,6,2
3,2024-10-20,7,8.18,10,0
3,2024-11-23,9,53.87,14,1
3,2024-12-04,1,9.72,6,0
3,2024-12-07,3,66.99,12,1
3,2024-10-18,3,25.79,13,0
3,2024-12-25,7,45.36,3,0
3,2024-12-12,7,13.79,13,1
3,2024-11-14,9,85.58,1,0
3,2024-10-29,7,53.3,11,0
3,2024-12-06,4,12.35,5,0
3,2024-12-01,4,19.81,2,1
3,2024-12-10,6,21.08,13,1
3,2024-11-18,9,24.63,3,0
3,2024-10-28,3,20.34,10,1
3,2024-10-27,9,51.79,12,1
3,2024-10-19,2,2.47,7,1
3,2024-10-14,4,41.9,5,1
3,2024-11-13,6,56.31,5,0
3,2024-10-16,7,40.2,2,0
3,2024-10-13,5,12.26,1,1
3,2024-12-13,7,9.19,1,1
3,2024-11-15,6,8.54,6,0
3,2024-11-25,6,23.64,8,0
3,2024-11-12,8,13.62,11,0
4,2024-10-09,3,26.51,5,0
4,2024-10-23,7,9.51,12,1
4,2024-11-16,9,12.29,13,0
4,2024-11-12,5,37.5,6,0
4,2024-12-24,6,38.83,4,0
4,2024-10-20,4,24.28,6,1
4,2024-11-04,8,1.53,2,0
4,2024-10-19,5,15.65,8,1
4,2024-11-07,4,24.03,14,1
4,2024-11-10,6,22.39,10,1
4,2024-12-08,4,29.0,3,1
4,2024-12-17,5,17.78,1,0
4,2024-11-23,3,21.25,2,0
4,2024-12-27,7,3.95,1,0
4,2024-10-06,9,29.38,14,0
4,2024-10-08,7,13.76,6,0
4,2024-11-03,4,10.21,7,0
4,2024-10-21,6,12.93,3,0
4,2024-10-18,2,6.81,4,0
4,2024-12-19,1,20.64,4,0
4,2024-10-05,6,24.06,1,1
4,2024-10-10,7,45.43,11,3
4,2024-11-02,1,90.28,11,0
4,2024-12-23,6,24.32,14,0
4,2024-11-27,9,50.13,1,1
4,2024-10-25,4,24.85,8,0
4,2024-10-04,3,12.28,14,0
4,2024-12-09,6,13.06,7,1
5,2024-12-25,5,10.85,4,0
5,2024-11-22,1,38.97,12,2
5,2024-10-06,3,23.49,6,1
5,2024-12-06,4,46.3,2,1
5,2024-10-23,1,37.06,1,0
5,2024-11-03,6,31.16,7,1
5,2024-10-20,2,13.41,1,0
5,2024-11-15,3,34.71,11,0
5,2024-12-23,2,9.13,2,0
5,2024-12-04,4,24.98,10,1
5,2024-11-27,8,69.84,10,1
5,2024-12-09,2,63.5,7,0
5,2024-11-23,5,43.43,12,0
5,2024-10-22,6,16.39,4,0
5,2024-10-17,9,66.17,4,0
5,2024-10-04,7,16.46,5,2
5,2024-10-27,1,3.32,2,3
5,2024-12-11,4,32.63,5,0
5,2024-10-14,4,45.3,10,1
5,2024-12-26,3,73.14,3,0
5,2024-11-16,1,54.37,13,0
5,2024-12-08,8,55.28,8,0
5,2024-11-12,3,12.47,13,4
5,2024-12-02,3,34.97,5,2
5,2024-10-28,9,20.37,1,2
5,2024-11-25,6,78.3,6,1
5,2024-11-28,4,72.81,10,1
5,2024-12-21,2,30.06,9,0
5,2024-12-14,2,8.65,13,1
5,2024-11-02,4,9.09,14,0
5,2024-12-01,3,14.55,11,0
5,2024-11-29,7,14.8,4,0
5,2024-12-31,3,22.33,11,1
5,2024-11-08,8,22.34,13,1
5,2024-10-25,9,45.28,3,1
5,2024-11-10,2,6.2,2,0
5,2024-12-15,4,16.89,10,0
5,2024-10-29,9,24.49,5,0
5,2024-10-10,3,12.81,8,1
5,2024-11-19,9,21.8,12,0
5,2024-10-24,2,19.72,1,2
5,2024-11-06,6,21.46,8,0
5,2024-11-30,3,98.77,13,0
5,2024-11-09,1,81.07,6,0
5,2024-11-14,3,12.16,9,0
5,2024-11-01,8,5.11,2,0
5,2024-10-05,7,20.29,12,0
5,2024-12-12,4,13.11,4,2
5,2024-11-24,6,6.44,11,1
5,2024-11-26,9,21.13,9,1
5,2024-12-17,4,14.37,2,0
5,2024-10-09,1,34.23,6,0
5,2024-10-21,4,12.74,6,1
5,2024-12-10,8,30.34,5,2
5,2024-11-13,9,41.97,9,0
5,2024-11-20,3,28.35,6,0
5,2024-12-20,6,64.22,6,0
6,2024-10-18,7,32.5,1,1
6,2024-11-10,1,11.16,3,2
6,2024-12-20,9,19.07,9,3
6,2024-10-06,5,28.07,14,1
6,2024-11-21,7,44.03,3,1
6,2024-11-09,5,48.19,9,1
6,2024-10-15,7,36.55,5,1
6,2024-12-01,6,70.31,9,1
6,2024-12-13,7,66.07,6,1
6,2024-12-12,6,1.57,3,0
6,2024-10-03,4,36.66,8,1
6,2024-10-26,6,24.2,14,0
6,2024-11-27,3,13.97,8,3
6,2024-10-21,1,55.25,13,0
6,2024-11-02,4,48.64,11,0
6,2024-10-28,1,5.86,9,0
6,2024-10-09,9,23.65,13,1
6,2024-12-16,2,12.43,10,1
6,2024-12-23,5,37.39,4,0
6,2024-12-14,4,25.03,7,1
6,2024-12-17,9,32.29,4,0
6,2024-11-11,1,21.2,2,1
6,2024-12-07,2,26.44,2,0
6,2024-10-13,1,21.35,4,0
6,2024-11-29,6,14.56,2,0
6,2024-10-05,7,34.94,6,0
6,2024-10-27,4,39.63,11,2
6,2024-10-17,8,22.6,5,0
6,2024-10-08,9,30.36,3,1
6,2024-10-10,4,25.48,7,0
6,2024-10-07,5,51.48,6,1
6,2024-12-30,8,34.32,11,1
6,2024-11-30,1,32.49,4,0
6,2024-12-11,1,7.41,2,1
6,2024-11-06,8,30.93,1,1
6,2024-10-20,4,11.43,12,0
6,2024-12-04,6,71.1,7,1
6,2024-12-18,6,56.02,2,0
6,2024-11-15,7,4.29,13,0
6,2024-11-14,1,56.14,1,1
6,2024-12-02,9,15.8,14,0
6,2024-12-27,2,13.52,5,1
7,2024-11-29,6,22.17,12,0
7,2024-10-16,1,12.04,4,1
7,2024-11-17,2,39.44,11,0
7,2024-12-15,1,10.13,10,1
7,2024-10-13,6,8.83,5,0
7,2024-10-03,9,27.71,13,1
7,2024-11-26,4,37.29,13,0
7,2024-10-11,4,19.88,11,0
7,2024-12-25,2,69.85,11,0
7,2024-11-02,5,18.94,2,0
7,2024-12-26,5,11.35,7,0
7,2024-11-07,6,25.6,9,0
7,2024-12-02,9,23.15,5,0
7,2024-12-10,7,92.74,9,1
7,2024-12-23,4,51.32,12,0
7,2024-10-23,2,15.7,10,0
7,2024-10-24,7,18.88,3,0
7,2024-11-27,6,15.45,6,0
7,2024-11-06,8,35.4,3,0
7,2024-11-04,7,7.38,11,0
7,2024-10-29,2,29.39,6,0
7,2024-12-03,4,9.71,1,2
7,2024-12-13,1,39.71,12,1
7,2024-11-01,9,16.39,6,0
7,2024-10-28,5,1.66,6,0
7,2024-10-17,3,55.13,11,0
7,2024-10-05,8,25.69,9,2
7,2024-12-21,6,26.0,7,0
7,2024-11-25,4,9.35,12,0
7,2024-12-28,6,16.97,1,1
7,2024-12-11,4,104.78,14,0
7,2024-11-20,8,-33.56,13,1
7,2024-10-30,5,15.53,10,1
7,2024-11-08,9,44.49,1,0
7,2024-11-13,4,3.85,1,1
7,2024-11-12,9,36.21,8,0
7,2024-10-04,7,15.44,4,1
7,2024-10-07,9,40.42,3,1
7,2024-12-31,3,14.34,13,0
7,2024-11-09,1,92.88,8,1
7,2024-12-29,8,38.65,5,1
7,2024-10-22,4,6.25,14,1
7,2024-10-21,4,24.63,12,0
7,2024-12-06,8,2.67,8,1
7,2024-11-21,5,27.99,14,1
7,2024-12-22,3,13.41,4,0
7,2024-12-17,9,37.81,11,0
7,2024-12-05,8,20.26,12,1
7,2024-10-20,1,38.67,5,0
7,2024-12-24,3,20.94,5,0
7,2024-10-10,2,12.81,5,0
7,2024-10-08,4,16.76,11,0
7,2024-11-11,4,62.04,7,0
7,2024-10-18,5,4.39,5,1
7,2024-10-31,1,27.93,10,0
7,2024-11-18,8,44.07,7,0
7,2024-11-15,1,36.03,10,0
7,2024-10-27,2,58.0,10,0
7,2024-11-16,7,32.28,1,1
8,2024-10-27,7,6.61,4,1
8,2024-12-14,2,12.7,8,0
8,2024-12-29,9,20.52,10,1
8,2024-10-31,1,15.97,8,2
8,2024-11-22,4,63.53,11,1
8,2024-10-10,6,38.86,4,0
8,2024-10-15,9,18.25,11,0
8,2024-11-18,7,13.78,14,1
8,2024-11-25,9,172.89,11,0
8,2024-11-14,1,21.96,11,1
8,2024-12-05,4,29.95,12,0
8,2024-10-21,7,37.53,8,0
8,2024-10-09,5,44.09,3,0
8,2024-11-28,2,92.67,4,0
8,2024-11-26,4,33.4,2,0
8,2024-11-29,5,11.3,8,0
8,2024-12-27,1,14.0,9,0
8,2024-12-10,7,46.93,3,0
8,2024-10-19,7,16.97,3,0
8,2024-12-25,2,14.81,12,1
8,2024-10-28,1,29.64,2,1
8,2024-11-13,5,16.14,9,1
8,2024-12-08,8,56.6,12,1
8,2024-11-27,2,43.78,12,0
8,2024-11-01,7,60.74,2,0
8,2024-12-22,2,43.46,10,0
8,2024-12-04,1,39.28,11,0
8,2024-12-28,7,45.46,1,0
8,2024-11-11,7,56.31,14,1
8,2024-11-06,7,25.03,14,1
8,2024-12-18,7,11.62,11,0
8,2024-11-20,7,35.02,12,0
8,2024-12-26,7,51.88,4,0
8,2024-11-08,3,37.76,6,0
