customer_id,signup_date,country,age,gender,subscription_tier,monthly_fee
1,2023-10-17,Germany,62.0,F,Basic,13.0
2,2022-04-25,UK,43.5,M,Premium,30.48
3,2022-01-26,Brazil,53.0,Unknown,Basic,11.59
4,2024-01-30,Canada,26.0,M,Basic,11.97
5,2022-10-09,Spain,44.0,F,Basic,11.23
6,2022-09-08,Brazil,51.0,F,Basic,10.18
7,2022-08-17,UK,68.0,M,Enterprise,131.87
8,2022-05-23,Germany,18.0,M,Basic,13.95
9,2024-01-25,Italy,43.5,F,Basic,11.79
10,2022-04-15,USA,42.0,M,Enterprise,132.33
11,2023-11-24,Germany,46.0,M,Basic,14.7
12,2024-01-29,Canada,24.0,M,Basic,10.2
13,2023-07-13,Canada,66.0,M,Premium,37.66
14,2022-03-31,Spain,20.0,F,Premium,34.82
15,2023-08-28,UK,37.0,F,Basic,14.71
16,2023-03-09,UK,37.0,M,Premium,33.92
17,2022-02-02,Spain,70.0,F,Premium,37.07
18,2022-01-31,Spain,47.0,M,Basic,10.34
19,2022-04-06,USA,52.0,F,Premium,39.28
20,2022-08-12,UK,52.0,F,Premium,33.44
21,2022-08-27,UK,66.0,F,Enterprise,152.39
22,2023-06-02,USA,56.0,M,Enterprise,113.84
23,2023-09-09,Spain,44.0,M,Basic,14.72
24,2022-01-28,Australia,43.0,M,Basic,13.35
25,2023-07-29,Mexico,31.0,F,Basic,10.26
26,2022-07-23,UK,34.0,M,Basic,10.77
27,2024-01-04,USA,35.0,F,Basic,11.99
28,2023-10-28,Australia,62.0,Other,Premium,32.16
29,2023-12-20,UK,69.0,F,Basic,11.51
30,2023-07-13,USA,46.0,F,Basic,14.98
31,2023-03-06,Australia,37.0,M,Premium,36.58
32,2022-08-14,Italy,70.0,M,Premium,39.21
33,2023-04-05,UK,44.0,M,Premium,34.35
34,2023-08-27,Brazil,35.0,F,Basic,13.54
35,2022-10-12,Australia,21.0,M,Premium,34.59
36,2024-04-08,France,18.0,F,Enterprise,132.81
37,2024-06-09,USA,67.0,M,Basic,12.59
38,2022-01-07,Canada,18.0,M,Basic,12.13
39,2024-02-17,Canada,43.5,F,Enterprise,198.04
40,2024-04-05,Italy,62.0,M,Basic,12.47
41,2022-06-13,Australia,37.0,M,Basic,14.05
42,2023-12-16,Australia,69.0,F,Basic,13.32
43,2023-03-09,Mexico,40.0,M,Basic,12.39
44,2022-12-15,Mexico,27.0,M,Basic,12.36
45,2022-10-12,Mexico,28.0,M,Basic,11.7
46,2022-06-09,USA,58.0,F,Basic,10.52
47,2022-08-09,Australia,58.0,Other,Basic,13.8
48,2024-02-21,Germany,22.0,F,Premium,39.17
49,2022-12-11,UK,18.0,M,Enterprise,121.79
50,2022-04-15,France,34.0,M,Basic,14.62
51,2022-04-05,USA,39.0,M,Premium,32.31
52,2023-01-25,UK,51.0,Other,Basic,12.64
53,2022-04-10,USA,62.0,M,Basic,11.71
54,2023-01-03,Germany,58.0,M,Enterprise,111.44
55,2024-05-17,UK,46.0,F,Basic,10.25
56,2022-12-19,France,21.0,Other,Basic,11.82
57,2023-09-11,Germany,22.0,M,Basic,10.23
58,2022-09-28,USA,28.0,M,Premium,31.03
59,2024-04-06,UK,68.0,M,Basic,10.7
60,2022-02-14,France,38.0,M,Basic,10.0
61,2024-01-18,Australia,52.0,F,Premium,31.52
62,2023-04-16,Mexico,29.0,F,Basic,12.88
63,2023-07-04,USA,43.0,F,Basic,14.09
64,2022-05-08,Italy,43.5,M,Basic,10.96
65,2023-01-23,France,36.0,Unknown,Basic,10.39
66,2022-03-22,Italy,62.0,M,Basic,13.64
67,2023-07-20,UK,24.0,M,Premium,30.07
68,2022-10-28,USA,64.0,Unknown,Premium,37.33
69,2024-04-29,UK,24.0,M,Basic,10.65
70,2023-10-06,Australia,43.0,M,Basic,11.13
71,2023-09-26,Australia,43.5,M,Basic,10.59
72,2024-06-25,Germany,22.0,M,Basic,11.23
73,2024-06-01,Australia,38.0,M,Basic,13.98
74,2023-01-06,Brazil,31.0,F,Basic,10.65
75,2023-08-15,Spain,21.0,M,Basic,14.96
76,2022-07-16,USA,40.0,F,Basic,11.63
77,2023-12-23,Mexico,59.0,M,Basic,14.6
78,2022-03-13,USA,37.0,M,Basic,10.94
79,2022-02-16,UK,32.0,F,Basic,10.93
80,2023-11-09,USA,67.0,M,Basic,12.82
81,2022-08-22,Spain,69.0,F,Premium,30.5
82,2024-03-02,UK,62.0,M,Basic,14.0
83,2022-10-24,USA,46.0,F,Basic,12.19
84,2022-03-23,Mexico,25.0,F,Basic,13.49
85,2024-05-25,UK,58.0,F,Basic,10.86
86,2022-08-27,UK,65.0,F,Premium,36.41
87,2024-06-06,Italy,36.0,F,Enterprise,159.4
88,2022-04-14,UK,65.0,M,Basic,13.77
89,2023-01-25,UK,56.0,F,Premium,32.96
90,2022-10-12,Brazil,63.0,F,Basic,14.66
91,2023-04-10,USA,45.0,M,Basic,14.8
92,2023-10-13,Italy,63.0,M,Basic,14.33
93,2024-05-04,Australia,44.0,F,Premium,35.71
94,2023-01-09,USA,21.0,F,Basic,12.09
95,2022-06-16,Italy,32.0,M,Enterprise,105.79
96,2023-01-15,Mexico,52.0,F,Basic,14.73
97,2022-12-30,UK,54.0,M,Basic,14.75
98,2022-08-03,Mexico,18.0,M,Premium,30.18
99,2023-11-18,Spain,20.0,F,Enterprise,135.68
100,2022-10-01,Mexico,43.5,M,Premium,38.79
101,2023-12-20,Germany,41.0,F,Premium,30.8
102,2023-12-01,Australia,44.0,M,Basic,10.97
103,2023-10-26,France,57.0,M,Basic,14.88
104,2022-03-15,Mexico,53.0,M,Basic,14.23
105,2023-09-16,Spain,51.0,F,Basic,14.55
106,2023-10-13,UK,46.0,M,Enterprise,114.21
107,2022-06-25,Brazil,41.0,M,Premium,32.1
108,2023-07-01,USA,41.0,M,Premium,36.04
109,2024-01-17,UK,59.0,M,Basic,12.5
110,2022-09-08,Spain,21.0,M,Premium,32.98
111,2022-06-17,Italy,20.0,M,Premium,38.83
112,2023-04-19,France,51.0,F,Basic,14.5
113,2023-01-24,Australia,66.0,M,Basic,11.45
114,2022-10-04,Australia,40.0,F,Premium,31.55
115,2023-10-18,Australia,70.0,F,Basic,10.74
116,2023-12-06,Brazil,69.0,M,Enterprise,148.43
117,2023-07-25,France,40.0,M,Basic,10.65
118,2022-08-13,Brazil,62.0,F,Basic,12.36
119,2023-12-03,Brazil,22.0,F,Basic,12.3
120,2022-11-29,USA,48.0,M,Basic,14.41
121,2024-05-13,France,70.0,F,Basic,11.47
122,2024-02-26,Germany,58.0,M,Basic,12.79
123,2024-03-05,France,23.0,M,Enterprise,174.34
124,2022-02-27,Spain,54.0,M,Premium,35.95
125,2022-08-23,USA,27.0,F,Basic,14.76
126,2024-04-21,Australia,57.0,F,Basic,13.0
127,2022-02-02,Spain,24.0,F,Basic,14.5
128,2024-04-04,Spain,56.0,M,Premium,32.44
129,2022-11-20,Canada,43.5,F,Basic,12.79
130,2023-02-15,USA,43.5,M,Basic,12.71
131,2022-10-02,USA,37.0,F,Basic,14.94
132,2022-03-09,Spain,20.0,M,Premium,32.04
133,2022-08-05,USA,68.0,M,Basic,10.69
134,2023-08-04,USA,39.0,M,Premium,36.11
135,2024-06-16,USA,64.0,F,Enterprise,122.36
136,2024-01-06,Canada,21.0,M,Basic,13.19
137,2022-11-19,UK,45.0,M,Basic,14.85
138,2022-08-06,Italy,29.0,M,Basic,14.72
139,2023-11-03,Germany,55.0,Other,Basic,11.15
140,2023-05-27,Italy,68.0,F,Basic,10.84
141,2023-02-10,France,53.0,F,Basic,12.79
142,2024-06-24,Australia,64.0,M,Premium,35.86
143,2023-10-21,Germany,58.0,M,Basic,13.3
144,2023-04-15,France,22.0,F,Basic,13.7
145,2022-05-27,Spain,30.0,M,Basic,12.99
146,2022-09-29,Australia,40.0,Unknown,Basic,10.55
147,2022-05-23,USA,67.0,M,Basic,13.94
148,2022-09-10,USA,47.0,F,Basic,10.39
149,2024-02-02,Germany,54.0,M,Basic,10.09
150,2023-07-29,Germany,42.0,F,Enterprise,176.96
151,2023-07-06,Mexico,65.0,F,Basic,12.73
152,2022-09-27,Spain,44.0,M,Premium,36.98
153,2024-02-04,UK,43.5,M,Basic,11.9
154,2023-08-22,USA,31.0,Other,Premium,30.1
155,2023-03-15,Australia,65.0,F,Basic,11.65
156,2023-08-21,Spain,64.0,F,Premium,36.07
157,2023-02-13,UK,53.0,F,Basic,11.12
158,2023-01-06,Canada,56.0,Unknown,Basic,13.43
159,2022-08-13,USA,33.0,Unknown,Basic,13.96
160,2022-05-22,USA,39.0,M,Basic,12.26
161,2023-06-06,USA,38.0,F,Basic,14.37
162,2023-05-21,UK,38.0,F,Premium,38.54
163,2022-04-04,Mexico,25.0,F,Basic,14.38
164,2024-02-13,USA,43.5,F,Premium,36.6
165,2022-02-18,USA,33.0,F,Basic,11.51
166,2024-05-31,UK,48.0,M,Basic,12.4
167,2022-04-23,Italy,59.0,F,Basic,13.54
168,2022-06-06,Germany,27.0,M,Basic,11.04
169,2023-10-05,Mexico,49.0,F,Basic,13.68
170,2022-06-13,Germany,51.0,M,Premium,35.47
171,2024-03-22,Canada,26.0,M,Basic,10.47
172,2023-11-28,France,34.0,Unknown,Premium,35.56
173,2023-03-09,Italy,28.0,Other,Premium,30.66
174,2023-09-03,Italy,49.0,M,Basic,10.06
175,2022-03-07,Australia,27.0,F,Premium,38.89
176,2023-01-30,Brazil,39.0,F,Basic,12.44
177,2023-01-26,USA,43.5,F,Basic,12.71
178,2023-09-03,Germany,21.0,M,Basic,11.39
179,2023-04-25,USA,65.0,F,Basic,12.7
180,2023-06-26,UK,69.0,F,Premium,31.68
181,2022-09-15,Brazil,64.0,M,Premium,37.45
182,2023-07-21,UK,42.0,F,Basic,14.11
183,2024-05-31,Mexico,38.0,F,Basic,14.27
184,2022-01-12,UK,43.5,F,Basic,10.52
185,2023-11-28,Germany,43.5,M,Premium,35.57
186,2024-01-09,Germany,66.0,M,Basic,14.03
187,2022-04-28,Brazil,18.0,Unknown,Basic,10.63
188,2023-11-30,Canada,42.0,M,Premium,30.99
189,2024-06-25,Brazil,68.0,F,Basic,14.07
190,2023-07-04,UK,53.0,M,Enterprise,179.66
191,2024-02-08,Brazil,34.0,M,Basic,12.23
192,2022-10-01,Germany,58.0,M,Enterprise,110.96
193,2024-02-27,Canada,41.0,F,Basic,12.57
194,2023-10-19,USA,43.5,M,Basic,11.96
195,2022-12-15,UK,57.0,F,Premium,35.18
196,2022-04-25,Australia,32.0,F,Premium,34.39
197,2022-10-28,USA,49.0,F,Premium,35.68
198,2023-03-22,Italy,56.0,F,Basic,13.63
199,2022-06-11,Brazil,23.0,M,Enterprise,177.48
200,2023-04-10,Mexico,18.0,M,Basic,13.23
