ticket_id,customer_id,created_date,resolved_date,category,priority,satisfaction_score,resolution_time_hours
1,4110,2024-03-29,2024-03-29 08:51:44,Technical,Medium,0.0,8.862222222222222
2,4110,2024-03-04,2024-03-04 12:08:22,Billing,Low,0.0,12.139444444444445
3,4110,2024-03-27,2024-03-27 01:09:27,Technical,Medium,5.0,1.1575
4,2990,2024-12-22,2024-12-23 03:33:56,Technical,Low,0.0,27.565555555555555
5,3341,2024-01-03,2024-01-05 16:12:29,Technical,High,0.0,64.20805555555556
6,3341,2024-10-01,2024-10-01 04:40:00,Technical,Medium,0.0,4.666666666666667
7,3341,2024-06-02,2024-06-02 13:02:55,General,Low,1.0,13.04861111111111
8,3341,2024-09-20,,Technical,High,0.0,
9,3341,2024-03-29,,Technical,Medium,0.0,
10,2669,2024-05-06,2024-05-06 09:53:15,Billing,Low,0.0,9.8875
11,2669,2024-06-19,2024-06-20 00:14:06,Technical,Medium,0.0,24.235
12,2669,2024-04-25,2024-04-25 04:19:11,General,Low,0.0,4.3197222222222225
13,4175,2024-01-24,,Technical,Low,0.0,
14,4175,2024-11-04,,General,Low,0.0,
15,4175,2024-05-22,2024-05-22 02:51:45,General,Medium,4.0,2.8625
16,4352,2024-06-12,2024-06-12 08:36:06,Technical,High,4.0,8.601666666666667
17,4352,2024-09-04,2024-09-04 11:12:02,General,Low,4.0,11.200555555555555
18,4352,2024-08-03,2024-08-03 15:26:05,Technical,Medium,0.0,15.434722222222222
19,4352,2024-12-18,2024-12-18 23:18:36,General,Medium,0.0,23.31
20,113,2024-01-21,2024-01-22 05:39:51,Technical,Medium,4.0,29.664166666666667
21,113,2024-06-13,2024-06-13 18:33:38,Billing,Medium,5.0,18.560555555555556
22,113,2024-11-08,2024-11-09 05:25:49,Billing,Medium,0.0,29.43027777777778
23,113,2024-08-03,,General,Medium,0.0,
24,2381,2024-07-26,2024-07-26 03:48:34,Technical,Low,0.0,3.8094444444444444
25,1781,2024-04-18,2024-04-19 03:25:51,Billing,Low,0.0,27.430833333333332
26,1781,2024-09-13,2024-09-14 02:39:28,Technical,Medium,3.0,26.657777777777778
27,2267,2024-03-11,2024-03-12 15:48:39,Billing,Low,0.0,39.810833333333335
28,2267,2024-01-10,2024-01-10 18:13:52,Billing,Low,4.0,18.23111111111111
29,2267,2024-03-14,2024-03-14 03:24:37,General,Low,0.0,3.410277777777778
30,2267,2024-06-11,2024-06-11 04:04:53,Technical,Low,0.0,4.081388888888889
31,3103,2024-09-19,2024-09-19 16:31:37,Technical,Medium,5.0,16.526944444444446
32,3103,2024-12-12,2024-12-12 08:54:30,Technical,Low,3.0,8.908333333333333
33,3103,2024-10-14,2024-10-15 03:20:37,Technical,Medium,0.0,27.343611111111112
34,2747,2024-12-24,,Billing,Medium,0.0,
35,2747,2024-08-16,2024-08-17 22:53:55,Technical,Medium,2.0,46.89861111111111
36,2747,2024-04-12,2024-04-12 09:56:14,Technical,Medium,3.0,9.937222222222223
37,2747,2024-10-30,2024-10-30 08:34:33,Technical,Medium,3.0,8.575833333333334
38,2364,2024-01-02,2024-01-03 22:22:52,Billing,Low,4.0,46.38111111111111
39,2364,2024-12-30,2024-12-30 19:05:11,Billing,Low,0.0,19.086388888888887
40,2364,2024-08-31,2024-08-31 17:26:29,Billing,High,3.0,17.441388888888888
41,2364,2024-04-11,2024-04-12 05:50:38,Technical,Low,2.0,29.843888888888888
42,2364,2024-11-02,2024-11-04 05:38:45,Billing,Low,5.0,53.645833333333336
43,2444,2024-05-01,2024-05-02 16:11:33,Billing,Low,0.0,40.1925
44,2444,2024-08-27,2024-08-27 10:08:17,Billing,Low,4.0,10.138055555555555
45,2444,2024-05-04,2024-05-05 06:01:55,Billing,Medium,3.0,30.031944444444445
46,2463,2024-07-10,2024-07-10 15:02:08,Billing,Low,1.0,15.035555555555556
47,3262,2024-09-22,2024-09-22 18:43:09,Technical,Medium,3.0,18.719166666666666
48,3262,2024-09-07,2024-09-07 17:29:34,Technical,High,5.0,17.49277777777778
49,3262,2024-03-28,2024-03-28 20:16:36,Technical,Low,0.0,20.276666666666667
50,3262,2024-10-28,2024-10-28 02:04:40,Technical,Low,0.0,2.077777777777778
51,4744,2024-03-01,2024-03-01 12:30:06,Technical,Low,5.0,12.501666666666667
52,4744,2024-11-15,2024-11-15 11:41:15,Billing,High,2.0,11.6875
53,3809,2024-10-20,2024-10-20 06:53:05,Billing,Low,0.0,6.884722222222222
54,3809,2024-08-23,2024-08-23 09:08:04,Technical,Low,5.0,9.134444444444444
55,3809,2024-07-14,2024-07-14 00:54:42,Billing,High,0.0,0.9116666666666666
56,3809,2024-12-27,,Technical,Medium,0.0,
57,1416,2024-06-16,2024-06-16 08:13:36,Billing,Medium,3.0,8.226666666666667
58,1416,2024-03-18,2024-03-18 15:51:39,Technical,Low,4.0,15.860833333333334
59,1416,2024-09-11,2024-09-11 18:48:32,Technical,Low,5.0,18.808888888888887
60,3261,2024-04-19,,General,High,0.0,
61,3261,2024-05-22,2024-05-22 17:44:45,Billing,Low,5.0,17.745833333333334
62,3261,2024-11-14,2024-11-14 09:32:39,General,Low,3.0,9.544166666666667
63,3261,2024-04-03,,Technical,Low,0.0,
64,56,2024-04-25,2024-04-25 03:19:45,Billing,Medium,4.0,3.3291666666666666
65,56,2024-02-03,2024-02-03 17:33:23,General,Low,4.0,17.55638888888889
66,56,2024-02-05,2024-02-06 10:52:49,Technical,Medium,0.0,34.88027777777778
67,56,2024-04-23,2024-04-23 14:43:54,General,High,4.0,14.731666666666667
68,56,2024-01-24,2024-01-24 12:33:30,Technical,Medium,0.0,12.558333333333334
69,4880,2024-10-16,2024-10-16 16:06:59,Technical,Medium,0.0,16.11638888888889
70,4880,2024-08-28,,General,Medium,0.0,
71,4880,2024-01-10,2024-01-10 13:42:19,Technical,Low,0.0,13.705277777777777
72,4880,2024-02-18,,Technical,High,0.0,
73,2068,2024-06-16,2024-06-16 23:33:32,Technical,Low,5.0,23.558888888888887
74,2068,2024-11-28,2024-11-28 21:47:53,Technical,Low,2.0,21.798055555555557
75,3173,2024-06-08,,Technical,Low,0.0,
76,3173,2024-03-22,2024-03-23 11:36:33,Billing,High,3.0,35.60916666666667
77,3173,2024-07-19,2024-07-19 15:50:28,Billing,Low,5.0,15.841111111111111
78,4924,2024-01-04,2024-01-05 22:12:33,General,Medium,0.0,46.20916666666667
79,4924,2024-05-22,2024-05-22 16:33:59,Billing,Medium,5.0,16.566388888888888
80,4660,2024-04-10,2024-04-10 07:06:46,Technical,Medium,2.0,7.112777777777778
81,4660,2024-04-16,,General,High,0.0,
82,4660,2024-10-24,,Billing,Medium,0.0,
83,4660,2024-03-18,2024-03-18 01:29:08,Technical,Medium,5.0,1.4855555555555555
84,4660,2024-08-19,2024-08-19 10:12:31,Billing,Medium,0.0,10.20861111111111
85,2128,2024-04-25,2024-04-26 15:12:59,General,High,0.0,39.216388888888886
86,2128,2024-11-02,2024-11-02 20:01:32,Technical,Medium,4.0,20.025555555555556
87,2128,2024-06-15,2024-06-16 14:06:32,Technical,Low,5.0,38.10888888888889
88,2128,2024-03-21,2024-03-21 21:12:57,Billing,High,0.0,21.215833333333332
89,2128,2024-07-03,2024-07-03 11:56:26,Billing,Medium,3.0,11.940555555555555
90,1791,2024-08-08,2024-08-09 11:52:54,Technical,Medium,4.0,35.88166666666667
91,4403,2024-04-01,2024-04-01 05:37:38,Technical,Low,2.0,5.627222222222223
92,4403,2024-07-01,2024-07-01 07:49:52,Technical,Medium,0.0,7.831111111111111
93,4403,2024-09-16,2024-09-16 13:28:41,Technical,Low,3.0,13.478055555555555
94,1239,2024-07-03,2024-07-03 17:33:01,General,Medium,4.0,17.55027777777778
95,1239,2024-08-19,2024-08-20 09:49:51,Billing,Medium,4.0,33.83083333333333
96,1239,2024-01-08,2024-01-09 01:27:25,Technical,Low,5.0,25.456944444444446
97,1340,2024-05-15,2024-05-15 15:28:08,Billing,Low,5.0,15.46888888888889
98,1340,2024-02-16,2024-02-17 01:15:32,Billing,Low,2.0,25.25888888888889
99,1340,2024-09-25,2024-09-26 11:01:16,General,Low,5.0,35.02111111111111
100,3524,2024-06-17,,General,High,0.0,
101,3524,2024-03-20,2024-03-21 00:27:14,Technical,Low,5.0,24.45388888888889
102,3524,2024-10-22,,Billing,Low,0.0,
103,2315,2024-07-29,,Technical,Low,0.0,
104,4394,2024-03-03,2024-03-04 03:23:39,Billing,Low,0.0,27.394166666666667
105,4394,2024-05-13,2024-05-13 12:27:22,Technical,Low,5.0,12.456111111111111
106,4394,2024-11-25,,Billing,Medium,0.0,
107,4394,2024-06-18,2024-06-19 03:06:13,Billing,Low,4.0,27.10361111111111
108,325,2024-08-22,2024-08-23 04:44:04,Billing,Low,0.0,28.734444444444446
109,325,2024-09-09,2024-09-09 08:58:54,Billing,Low,4.0,8.981666666666667
110,325,2024-06-12,2024-06-12 11:33:44,General,Medium,0.0,11.562222222222223
111,325,2024-09-19,2024-09-19 15:48:30,Technical,Medium,2.0,15.808333333333334
112,1562,2024-10-21,2024-10-21 07:09:07,Technical,High,0.0,7.151944444444444
113,1562,2024-04-30,2024-04-30 08:38:33,Technical,Medium,0.0,8.6425
114,1562,2024-03-28,2024-03-28 05:23:40,Billing,Low,0.0,5.394444444444445
115,746,2024-04-19,2024-04-19 05:33:39,General,High,3.0,5.560833333333333
116,746,2024-07-07,2024-07-07 23:13:24,Technical,High,0.0,23.223333333333333
117,746,2024-05-07,2024-05-07 03:20:02,Technical,Low,3.0,3.3338888888888887
118,2146,2024-09-16,2024-09-16 07:22:46,Billing,Low,5.0,7.379444444444444
119,2146,2024-01-27,2024-01-27 19:02:06,Technical,Medium,0.0,19.035
120,2146,2024-10-18,2024-10-18 04:11:58,Billing,Medium,3.0,4.1994444444444445
121,1409,2024-11-16,2024-11-16 08:09:10,Technical,Low,4.0,8.152777777777779
122,1409,2024-09-05,,Billing,Low,0.0,
123,1409,2024-05-12,2024-05-12 04:27:16,Billing,High,3.0,4.454444444444444
124,4650,2024-06-17,2024-06-17 19:21:06,General,High,4.0,19.351666666666667
125,4650,2024-09-25,2024-09-25 06:21:49,Technical,Medium,5.0,6.363611111111111
126,4650,2024-01-14,2024-01-14 16:47:42,Billing,Medium,0.0,16.795
127,4650,2024-11-06,2024-11-06 22:35:33,Billing,High,0.0,22.5925
128,4650,2024-09-23,2024-09-23 09:52:05,Technical,Medium,0.0,9.868055555555555
129,3369,2024-06-21,,Billing,Low,0.0,
130,1335,2024-06-26,2024-06-29 15:27:25,Technical,Low,5.0,87.45694444444445
131,1335,2024-03-16,2024-03-16 13:34:10,Technical,Medium,0.0,13.569444444444445
132,1335,2024-05-17,2024-05-18 03:47:00,Technical,Low,0.0,27.783333333333335
133,1335,2024-09-13,2024-09-13 03:44:24,Technical,High,5.0,3.74
134,1335,2024-11-09,,General,Medium,0.0,
135,855,2024-04-10,2024-04-10 10:10:20,Technical,Medium,0.0,10.172222222222222
136,855,2024-01-16,2024-01-16 03:46:08,General,Medium,4.0,3.7688888888888887
137,4011,2024-03-24,,Billing,Medium,0.0,
138,4011,2024-07-20,2024-07-20 08:52:55,Billing,Medium,0.0,8.881944444444445
139,4011,2024-04-08,2024-04-08 12:54:37,General,Medium,4.0,12.910277777777777
140,4011,2024-06-26,2024-06-26 09:25:48,General,Medium,0.0,9.43
141,4011,2024-07-01,2024-07-01 06:59:39,Technical,Medium,5.0,6.994166666666667
